,Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
84,Sudão,40827975,48.0,27.7,15.2,2.8,3.5,1.8,0.8,0.2
85,Suécia,9920843,32.0,37.0,10.0,5.0,6.0,7.0,2.0,1.0
86,Suíça,8454321,35.0,40.0,7.0,3.0,6.0,7.0,1.0,1.0
87,Síria,18920698,43.0,30.0,14.0,3.7,5.0,3.0,1.0,0.3
88,Taiwan,23234936,43.9,25.9,23.9,6.0,0.17,0.1,0.01,0.02
89,Tailândia,68298027,40.8,16.9,36.8,4.97,0.2,0.1,0.2,0.03
90,Turquia,80420065,29.8,37.8,14.2,7.2,3.9,4.7,1.6,0.8
91,Uganda,43276492,43.7,39.0,10.7,3.9,1.3,1.0,0.3,0.1
92,Ucrânia,44404078,32.0,34.0,15.0,5.0,5.0,6.0,2.0,1.0
93,Emirados Árabes Unidos,3398017,44.1,21.9,20.9,4.3,4.3,2.1,2.0,0.4
94,Reino Unido,65512375,37.0,35.0,8.0,3.0,7.0,7.0,2.0,1.0
95,Estados Unidos,326481533,37.4,35.7,8.5,3.4,6.6,6.3,1.5,0.6
96,Venezuela,32011082,58.5,28.3,5.3,1.8,3.5,1.7,0.7,0.2
97,Vietnã,95414640,41.7,21.9,30.8,4.98,0.3,0.1,0.2,0.02
98,Zimbábue,16642880,63.3,18.5,14.6,0.99,1.7,0.5,0.4,0.01
99,Mundo,6635281257,38.67,27.42,22.02,5.88,2.55,1.99,1.11,0.36
